MatchId,MatchName,LeagueName,SeasonName,StartDateTime,battingFirstName,battingFirstId,bowlingFirstName,bowlingFirstId,battingFirstScoreRuns,battingFirstScoreWickets,battingFirstScoreOvers,battingFirstScoreBalls,bowlingFirstScoreRuns,bowlingFirstScoreWickets,bowlingFirstScoreOvers,bowlingFirstScoreBalls,league_id,season_id
277713,Round 5,Inner West Midweek Summer,2020 Spring,2020-02-11T06:31:17Z,Workers Club Lions,16726,The Nutty Cuckoo Super Kings,18132,201,4,20,0,138,3,20,0,1398,110
277712,Round 5,Inner West Midweek Summer,2020 Spring,2020-02-13T06:38:03Z,Batty Boys,5888,The Michael Bevans,11117,172,6,20,0,174,4,17,3,1398,110
277699,Round 1,Inner West Midweek Summer,2020 Spring,2020-02-17T06:37:15Z,The Nutty Cuckoo Super Kings,18132,Batty Boys,5888,106,2,20,0,110,4,13,4,1398,110
277715,Round 6,Inner West Midweek Summer,2020 Spring,2020-02-20T06:32:51Z,Batty Boys,5888,The Nutty Cuckoo Super Kings,18132,193,4,20,0,178,4,20,0,1398,110
277714,Round 6,Inner West Midweek Summer,2020 Spring,2020-02-20T06:40:23Z,Major Paine,18659,The Michael Bevans,11117,132,4,20,0,126,7,20,0,1398,110
277719,Round 7,Inner West Midweek Summer,2020 Spring,2020-02-27T06:36:31Z,Batty Boys,5888,Major Paine,18659,190,3,20,0,169,4,20,0,1398,110
277717,Round 7,Inner West Midweek Summer,2020 Spring,2020-02-27T06:39:17Z,Workers Club Lions,16726,The Michael Bevans,11117,92,8,14,4,93,4,13,4,1398,110
277720,Round 8,Inner West Midweek Summer,2020 Spring,2020-03-03T06:43:40Z,Batty Boys,5888,The Hunts,9013,150,5,20,0,151,3,17,4,1398,110
281503,Round,Inner West Midweek Summer,2020 Spring,2020-03-10T06:18:58Z,Major Paine,18659,The Nutty Cuckoo Super Kings,18132,180,6,20,0,99,6,20,0,1398,110
277723,Round 9,Inner West Midweek Summer,2020 Spring,2020-03-12T06:25:43Z,Workers Club Lions,16726,Batty Boys,5888,201,4,20,0,202,3,16,4,1398,110
277724,Round 9,Inner West Midweek Summer,2020 Spring,2020-03-12T06:26:24Z,The Michael Bevans,11117,The Hunts,9013,189,4,20,0,180,6,20,0,1398,110
281019,Semi Final 1 vs 4,Inner West Midweek Summer,2020 Spring,2020-03-16T06:22:44Z,Major Paine,18659,Workers Club Lions,16726,217,1,20,0,153,8,18,0,1398,110
281020,Semi Final 2 vs 3,Inner West Midweek Summer,2020 Spring,2020-03-17T06:21:26Z,The Hunts,9013,Batty Boys,5888,169,8,19,4,104,8,18,3,1398,110
281021,Grand Final,Inner West Midweek Summer,2020 Spring,2020-03-19T06:19:02Z,The Hunts,9013,Major Paine,18659,182,6,20,0,156,7,20,0,1398,110
299891,Round 1,JJ Holland Midweek,2020,2020-11-02T06:35:10Z,The Nutty Cuckoo Super Kings,18132,The Hunts,9013,166,2,20,0,163,6,20,0,1398,112
299893,Round 1,JJ Holland Midweek,2020,2020-11-05T06:40:39Z,The Michael Bevans,11117,Major Paine,18659,191,8,20,0,134,4,20,0,1398,112
299892,Round 1,JJ Holland Midweek,2020,2020-11-05T06:43:26Z,Workers Club Lions,16726,Doghouse,14922,201,5,20,0,136,6,20,0,1398,112
299895,Round 2,JJ Holland Midweek,2020,2020-11-09T06:30:55Z,The Nutty Cuckoo Super Kings,18132,Major Paine,18659,171,5,20,0,173,3,18,3,1398,112
299896,Round 2,JJ Holland Midweek,2020,2020-11-12T06:30:09Z,Doghouse,14922,The Hunts,9013,154,5,20,0,157,4,19,0,1398,112
299894,Round 2,JJ Holland Midweek,2020,2020-11-12T06:42:31Z,The Michael Bevans,11117,Workers Club Lions,16726,146,5,20,0,148,6,18,3,1398,112
299897,Round 3,JJ Holland Midweek,2020,2020-11-16T06:34:19Z,The Hunts,9013,Major Paine,18659,133,8,19,0,134,4,19,3,1398,112
299899,Round 3,JJ Holland Midweek,2020,2020-11-19T06:27:57Z,The Nutty Cuckoo Super Kings,18132,Workers Club Lions,16726,164,4,20,0,111,8,17,1,1398,112
299898,Round 3,JJ Holland Midweek,2020,2020-11-19T06:48:22Z,The Michael Bevans,11117,Doghouse,14922,90,8,15,4,94,0,8,1,1398,112
299900,Round 4,JJ Holland Midweek,2020,2020-11-23T06:21:33Z,The Nutty Cuckoo Super Kings,18132,Doghouse,14922,161,4,20,0,163,1,18,0,1398,112
299902,Round 4,JJ Holland Midweek,2020,2020-11-26T06:34:36Z,Major Paine,18659,Workers Club Lions,16726,118,8,16,2,100,8,16,1,1398,112
299901,Round 4,JJ Holland Midweek,2020,2020-11-26T06:36:19Z,The Hunts,9013,The Michael Bevans,11117,193,5,20,0,142,6,20,0,1398,112
299904,Round 5,JJ Holland Midweek,2020,2020-11-30T06:31:40Z,The Hunts,9013,Workers Club Lions,16726,213,0,20,0,197,4,20,0,1398,112
299903,Round 5,JJ Holland Midweek,2020,2020-12-03T06:26:50Z,Major Paine,18659,Doghouse,14922,141,4,20,0,39,8,7,4,1398,112
299905,Round 5,JJ Holland Midweek,2020,2020-12-03T06:53:46Z,The Nutty Cuckoo Super Kings,18132,The Michael Bevans,11117,185,4,20,0,184,6,20,0,1398,112
299906,Semi Final 1 vs 4,JJ Holland Midweek,2020,2020-12-07T06:39:27Z,Workers Club Lions,16726,Major Paine,18659,190,5,20,0,173,5,20,0,1398,112
