$id,$type,BattingFirstTeamId,BowlingFirstTeamId,FirstInningsOvers,SecondInningsOvers,PitchCondition,Id,TimeStamp,BattingTeamId,BowlingTeamId,StrikerId,NonStrikerId,BowlerId,KeeperId,NewFielderId,NewBatsmanId,BatsmanId,NewKeeperId
562205617,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,21bcb055-778a-4d24-80d4-6233ef95bc0d,2021-02-18T07:00:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
968489338,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,be211f3c-765d-422f-bf2f-8a71b6726497,2021-02-18T07:00:34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
729357375,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,3f0cfd41-595f-4308-aded-7ba6afa3f382,2021-02-18T07:01:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380615652,live_scoring_core.events.outdoor_cricket.NewOverStarted,NA,NA,NA,NA,NA,fc5d0e47-ef82-4c47-aee4-c6d6b4318906,2021-02-18T07:01:30,NA,NA,NA,NA,239863,NA,NA,NA,NA,NA
768253304,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,ff623a2b-6e6e-482b-97a3-b8801513cc8c,2021-02-18T07:01:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236199186,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,6b5efcc8-00ce-423e-918e-1ff1d393c313,2021-02-18T07:02:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1034627264,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,79395dc8-4e8f-4739-b61e-70dc6876dc79,2021-02-18T07:02:37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
486028506,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,80fe55af-62bb-48e6-980f-5f768512ea08,2021-02-18T07:02:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
555582479,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,507ff272-b7d5-4ac6-aff4-c0dc0302a838,2021-02-18T07:03:29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
707092770,live_scoring_core.events.outdoor_cricket.NewOverStarted,NA,NA,NA,NA,NA,3f437664-37ac-4f34-9d25-e7af77895cd7,2021-02-18T07:03:40,NA,NA,NA,NA,198555,NA,NA,NA,NA,NA
275653864,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,fddb3c0b-3ca5-4fdf-9acf-f42073de6466,2021-02-18T07:04:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
649267999,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,7647d895-8e31-42ce-a057-aaf4031050b3,2021-02-18T07:04:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
647722456,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,e892dd81-2c72-4e8c-908e-861178ee132a,2021-02-18T07:05:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
641515286,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,784fbb98-5c0d-44f4-9392-3d0ff22eb0f6,2021-02-18T07:05:26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659576914,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,d8e5ec43-b332-4d27-a473-4bf60bae4130,2021-02-18T07:05:52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336155646,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,66a03007-1f4b-4511-8b21-b1a69192e464,2021-02-18T07:06:14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
395709043,live_scoring_core.events.outdoor_cricket.NewOverStarted,NA,NA,NA,NA,NA,b529ed2e-c2f2-4ba6-b11e-8f73fb52be32,2021-02-18T07:06:24,NA,NA,NA,NA,242570,NA,NA,NA,NA,NA
579059139,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,bd9f0c3a-0566-4f2f-b966-7eceda18db19,2021-02-18T07:06:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
483717175,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,c7d1d458-96a7-44b8-b263-3371980c54b2,2021-02-18T07:07:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1064778894,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,3bda0c8a-2e7a-4adb-a51a-ad3da1ef924f,2021-02-18T07:07:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
802435369,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,68118b95-9dd2-4df5-ba2f-2314c92dffc0,2021-02-18T07:08:02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
