Bowlers,Overs,Runs,Wkts,Econ,id,innings,match_name,date,league,season,home_team,away_team,home_score,away_score,umpire,Player.Id,User.Id,team,season_id,league_id,FirstName,LastName,Maidens,RunsConceded,Wickets,BowlingDotBalls,NoBall,Wide,Catches,RunOuts,DoublePlay,Played,EmailAddressConfirmed,MatchName,LeagueName,SeasonName,StartDateTime,battingFirstName,battingFirstId,bowlingFirstName,bowlingFirstId,$id,$type,Over,Ball
Geoff Peace,4,40,1,10,268522,1,Grand Final,2019-12-19T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Hunts,185,176,Manoj Varma,300434,238804,The Hunts,105,1398,Geoff,Peace,0,40,1,3,1,1,0,0,0,0,NA,Grand Final,JJ Holland Midweek,2019 Spring,2019-12-19T06:43:49Z,Batty Boys,5888,The Hunts,9013,856533017,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Michael Totsis,4,32,1,8,268522,1,Grand Final,2019-12-19T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Hunts,185,176,Manoj Varma,101555,86627,The Hunts,105,1398,Michael,Totsis,0,32,1,5,0,0,0,0,0,0,NA,Grand Final,JJ Holland Midweek,2019 Spring,2019-12-19T06:43:49Z,Batty Boys,5888,The Hunts,9013,312808550,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Tenzin Grieve,4,57,1,14.25,268522,1,Grand Final,2019-12-19T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Hunts,185,176,Manoj Varma,270585,83193,The Hunts,105,1398,Tenzin,Grieve,0,57,1,1,0,0,0,0,0,0,NA,Grand Final,JJ Holland Midweek,2019 Spring,2019-12-19T06:43:49Z,Batty Boys,5888,The Hunts,9013,462733823,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Shaun Marshall,4,22,3,5.5,268522,1,Grand Final,2019-12-19T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Hunts,185,176,Manoj Varma,308836,244413,The Hunts,105,1398,Shaun,Marshall,1,22,3,6,0,1,0,0,0,0,NA,Grand Final,JJ Holland Midweek,2019 Spring,2019-12-19T06:43:49Z,Batty Boys,5888,The Hunts,9013,1026069836,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Sean Kennedy,4,29,1,7.25,268522,1,Grand Final,2019-12-19T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Hunts,185,176,Manoj Varma,128203,44711,The Hunts,105,1398,Sean,Kennedy,0,29,1,6,0,0,0,0,0,0,NA,Grand Final,JJ Holland Midweek,2019 Spring,2019-12-19T06:43:49Z,Batty Boys,5888,The Hunts,9013,375570298,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Syed mahmood Ali,4,24,0,6,268522,2,Grand Final,2019-12-19T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Hunts,185,176,Manoj Varma,264511,215594,Batty Boys,105,1398,Syed mahmood,Ali,0,24,0,8,1,0,0,0,0,0,NA,Grand Final,JJ Holland Midweek,2019 Spring,2019-12-19T06:43:49Z,Batty Boys,5888,The Hunts,9013,153239919,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Vinny Fairclough,4,32,0,8,268522,2,Grand Final,2019-12-19T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Hunts,185,176,Manoj Varma,49624,44294,Batty Boys,105,1398,Vinny,Fairclough,0,32,0,5,0,0,0,0,0,0,NA,Grand Final,JJ Holland Midweek,2019 Spring,2019-12-19T06:43:49Z,Batty Boys,5888,The Hunts,9013,497174359,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Guy Henshall,4,25,1,6.25,268522,2,Grand Final,2019-12-19T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Hunts,185,176,Manoj Varma,214598,183511,Batty Boys,105,1398,Guy,Henshall,0,25,1,8,0,5,0,0,0,0,NA,Grand Final,JJ Holland Midweek,2019 Spring,2019-12-19T06:43:49Z,Batty Boys,5888,The Hunts,9013,133327865,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Jacob Bell,4,34,2,8.5,268522,2,Grand Final,2019-12-19T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Hunts,185,176,Manoj Varma,263179,214551,Batty Boys,105,1398,Jacob,Bell,0,34,2,4,1,2,0,0,0,0,NA,Grand Final,JJ Holland Midweek,2019 Spring,2019-12-19T06:43:49Z,Batty Boys,5888,The Hunts,9013,1071044146,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Phil Sing,2,31,1,15.5,268522,2,Grand Final,2019-12-19T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Hunts,185,176,Manoj Varma,130384,19775,Batty Boys,105,1398,Phil,Sing,0,31,1,1,0,0,0,0,0,0,NA,Grand Final,JJ Holland Midweek,2019 Spring,2019-12-19T06:43:49Z,Batty Boys,5888,The Hunts,9013,293817340,live_scoring_core.dtos.outdoor_cricket.Overs,2,0
Ollie Sullivan,2,25,0,12.5,268522,2,Grand Final,2019-12-19T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Hunts,185,176,Manoj Varma,48986,43751,Batty Boys,105,1398,Ollie,Sullivan,0,25,0,2,0,1,0,0,0,0,NA,Grand Final,JJ Holland Midweek,2019 Spring,2019-12-19T06:43:49Z,Batty Boys,5888,The Hunts,9013,44303051,live_scoring_core.dtos.outdoor_cricket.Overs,2,0
Jack Davies,4,30,2,7.5,268520,1,Semi Final 1,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Michael Bevans,172,133,Velroy Dias,308063,243967,The Michael Bevans,105,1398,Jack,Davies,0,30,2,1,1,1,0,0,0,0,NA,Semi Final 1,JJ Holland Midweek,2019 Spring,2019-12-16T06:38:41Z,Batty Boys,5888,The Michael Bevans,11117,519187240,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Rory O'hehir,4,45,1,11.25,268520,1,Semi Final 1,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Michael Bevans,172,133,Velroy Dias,168033,142810,The Michael Bevans,105,1398,Rory,O'hehir,0,45,1,2,3,1,0,0,0,0,NA,Semi Final 1,JJ Holland Midweek,2019 Spring,2019-12-16T06:38:41Z,Batty Boys,5888,The Michael Bevans,11117,360698448,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Justin Lott,4,27,0,6.75,268520,1,Semi Final 1,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Michael Bevans,172,133,Velroy Dias,128798,108650,The Michael Bevans,105,1398,Justin,Lott,0,27,0,6,0,2,0,0,0,0,NA,Semi Final 1,JJ Holland Midweek,2019 Spring,2019-12-16T06:38:41Z,Batty Boys,5888,The Michael Bevans,11117,284816702,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Keshav Tummala,4,27,2,6.75,268520,1,Semi Final 1,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Michael Bevans,172,133,Velroy Dias,NA,NA,NA,105,1398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nagarjuna reddy Mettu,3,29,0,9.67,268520,1,Semi Final 1,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Michael Bevans,172,133,Velroy Dias,NA,NA,NA,105,1398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Ballard,1,12,0,12,268520,1,Semi Final 1,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Michael Bevans,172,133,Velroy Dias,131030,110565,The Michael Bevans,105,1398,James,Ballard,0,12,0,0,0,3,0,0,0,0,NA,Semi Final 1,JJ Holland Midweek,2019 Spring,2019-12-16T06:38:41Z,Batty Boys,5888,The Michael Bevans,11117,827959691,live_scoring_core.dtos.outdoor_cricket.Overs,1,0
Syed mahmood Ali,4,25,1,6.25,268520,2,Semi Final 1,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Michael Bevans,172,133,Velroy Dias,264511,215594,Batty Boys,105,1398,Syed mahmood,Ali,0,25,1,6,0,2,0,0,0,0,NA,Semi Final 1,JJ Holland Midweek,2019 Spring,2019-12-16T06:38:41Z,Batty Boys,5888,The Michael Bevans,11117,351550548,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Guy Henshall,4,30,1,7.5,268520,2,Semi Final 1,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Michael Bevans,172,133,Velroy Dias,214598,183511,Batty Boys,105,1398,Guy,Henshall,0,30,1,6,0,4,0,0,0,0,NA,Semi Final 1,JJ Holland Midweek,2019 Spring,2019-12-16T06:38:41Z,Batty Boys,5888,The Michael Bevans,11117,631842575,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Phil Sing,3,19,0,6.33,268520,2,Semi Final 1,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Michael Bevans,172,133,Velroy Dias,130384,19775,Batty Boys,105,1398,Phil,Sing,0,19,0,4,0,2,0,0,0,0,NA,Semi Final 1,JJ Holland Midweek,2019 Spring,2019-12-16T06:38:41Z,Batty Boys,5888,The Michael Bevans,11117,275986406,live_scoring_core.dtos.outdoor_cricket.Overs,3,0
Vinny Fairclough,3,23,1,7.67,268520,2,Semi Final 1,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Michael Bevans,172,133,Velroy Dias,49624,44294,Batty Boys,105,1398,Vinny,Fairclough,0,23,1,3,0,0,0,0,0,0,NA,Semi Final 1,JJ Holland Midweek,2019 Spring,2019-12-16T06:38:41Z,Batty Boys,5888,The Michael Bevans,11117,434398394,live_scoring_core.dtos.outdoor_cricket.Overs,3,0
Jacob Bell,3,12,0,4,268520,2,Semi Final 1,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Michael Bevans,172,133,Velroy Dias,263179,214551,Batty Boys,105,1398,Jacob,Bell,0,12,0,6,0,1,0,0,0,0,NA,Semi Final 1,JJ Holland Midweek,2019 Spring,2019-12-16T06:38:41Z,Batty Boys,5888,The Michael Bevans,11117,851848689,live_scoring_core.dtos.outdoor_cricket.Overs,3,0
Ollie Sullivan,3,14,1,4.67,268520,2,Semi Final 1,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,Batty Boys,The Michael Bevans,172,133,Velroy Dias,48986,43751,Batty Boys,105,1398,Ollie,Sullivan,0,14,1,5,0,1,0,0,0,0,NA,Semi Final 1,JJ Holland Midweek,2019 Spring,2019-12-16T06:38:41Z,Batty Boys,5888,The Michael Bevans,11117,192136529,live_scoring_core.dtos.outdoor_cricket.Overs,3,0
Jimmy Shreds,4,39,0,9.75,268521,1,Semi Final 2,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,The Hunts,Workers Club Lions,233,140,John Prentice,264408,217670,Workers Club Lions,105,1398,Jimmy,Shreds,0,39,0,4,1,1,0,0,0,0,NA,Semi Final 2,JJ Holland Midweek,2019 Spring,2019-12-16T06:32:32Z,The Hunts,9013,Workers Club Lions,16726,698561756,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Drew Olarenshaw,4,40,1,10,268521,1,Semi Final 2,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,The Hunts,Workers Club Lions,233,140,John Prentice,307980,243660,Workers Club Lions,105,1398,Drew Olarenshaw,Olarenshaw,0,40,1,6,0,2,0,0,0,0,NA,Semi Final 2,JJ Holland Midweek,2019 Spring,2019-12-16T06:32:32Z,The Hunts,9013,Workers Club Lions,16726,170495240,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Tom Smith,3,46,2,15.33,268521,1,Semi Final 2,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,The Hunts,Workers Club Lions,233,140,John Prentice,255702,211954,Workers Club Lions,105,1398,Tom,Smith,0,46,2,0,1,1,0,0,0,0,NA,Semi Final 2,JJ Holland Midweek,2019 Spring,2019-12-16T06:32:32Z,The Hunts,9013,Workers Club Lions,16726,204443087,live_scoring_core.dtos.outdoor_cricket.Overs,3,0
The Taconator,3,31,0,10.33,268521,1,Semi Final 2,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,The Hunts,Workers Club Lions,233,140,John Prentice,255695,113801,Workers Club Lions,105,1398,The,Taconator,0,31,0,5,0,0,0,0,0,0,NA,Semi Final 2,JJ Holland Midweek,2019 Spring,2019-12-16T06:32:32Z,The Hunts,9013,Workers Club Lions,16726,947707631,live_scoring_core.dtos.outdoor_cricket.Overs,3,0
James Ahern,3,42,0,14,268521,1,Semi Final 2,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,The Hunts,Workers Club Lions,233,140,John Prentice,255715,211967,Workers Club Lions,105,1398,James,Ahern,0,42,0,0,0,2,0,0,0,0,NA,Semi Final 2,JJ Holland Midweek,2019 Spring,2019-12-16T06:32:32Z,The Hunts,9013,Workers Club Lions,16726,938418085,live_scoring_core.dtos.outdoor_cricket.Overs,3,0
Will Alderton,2,20,0,10,268521,1,Semi Final 2,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,The Hunts,Workers Club Lions,233,140,John Prentice,313536,142034,Workers Club Lions,105,1398,Will,Alderton,0,20,0,3,0,0,0,0,0,0,NA,Semi Final 2,JJ Holland Midweek,2019 Spring,2019-12-16T06:32:32Z,The Hunts,9013,Workers Club Lions,16726,883987113,live_scoring_core.dtos.outdoor_cricket.Overs,2,0
Brendan O�Sullivan,1,8,0,8,268521,1,Semi Final 2,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,The Hunts,Workers Club Lions,233,140,John Prentice,NA,NA,NA,105,1398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tenzin Grieve,4,24,3,6,268521,2,Semi Final 2,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,The Hunts,Workers Club Lions,233,140,John Prentice,270585,83193,The Hunts,105,1398,Tenzin,Grieve,0,24,3,8,0,0,0,0,0,0,NA,Semi Final 2,JJ Holland Midweek,2019 Spring,2019-12-16T06:32:32Z,The Hunts,9013,Workers Club Lions,16726,274698582,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Tenzin Grieve,4,24,3,6,268521,2,Semi Final 2,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,The Hunts,Workers Club Lions,233,140,John Prentice,350887,83193,Workers Club Lions,105,1398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sean Kennedy,4,25,0,6.25,268521,2,Semi Final 2,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,The Hunts,Workers Club Lions,233,140,John Prentice,128203,44711,The Hunts,105,1398,Sean,Kennedy,0,25,0,5,0,0,0,0,0,0,NA,Semi Final 2,JJ Holland Midweek,2019 Spring,2019-12-16T06:32:32Z,The Hunts,9013,Workers Club Lions,16726,39812172,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Shaun Marshall,3,18,1,6,268521,2,Semi Final 2,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,The Hunts,Workers Club Lions,233,140,John Prentice,308836,244413,The Hunts,105,1398,Shaun,Marshall,0,18,1,6,0,0,0,0,0,0,NA,Semi Final 2,JJ Holland Midweek,2019 Spring,2019-12-16T06:32:32Z,The Hunts,9013,Workers Club Lions,16726,740682605,live_scoring_core.dtos.outdoor_cricket.Overs,3,0
Michael Totsis,3,15,0,5,268521,2,Semi Final 2,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,The Hunts,Workers Club Lions,233,140,John Prentice,101555,86627,The Hunts,105,1398,Michael,Totsis,0,15,0,6,0,0,0,0,0,0,NA,Semi Final 2,JJ Holland Midweek,2019 Spring,2019-12-16T06:32:32Z,The Hunts,9013,Workers Club Lions,16726,491589938,live_scoring_core.dtos.outdoor_cricket.Overs,3,0
Johnny Temuskus,2,23,0,11.5,268521,2,Semi Final 2,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,The Hunts,Workers Club Lions,233,140,John Prentice,273794,223613,The Hunts,105,1398,Johnny,Temuskus,0,23,0,4,0,1,0,0,0,0,NA,Semi Final 2,JJ Holland Midweek,2019 Spring,2019-12-16T06:32:32Z,The Hunts,9013,Workers Club Lions,16726,1023022117,live_scoring_core.dtos.outdoor_cricket.Overs,2,0
Geoff Peace,2,16,1,8,268521,2,Semi Final 2,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,The Hunts,Workers Club Lions,233,140,John Prentice,300434,238804,The Hunts,105,1398,Geoff,Peace,0,16,1,2,1,1,0,0,0,0,NA,Semi Final 2,JJ Holland Midweek,2019 Spring,2019-12-16T06:32:32Z,The Hunts,9013,Workers Club Lions,16726,621097836,live_scoring_core.dtos.outdoor_cricket.Overs,2,0
Dave Gnanadurai,2,19,0,9.5,268521,2,Semi Final 2,2019-12-16T16:45:00Z,JJ Holland Midweek,2019 Spring,The Hunts,Workers Club Lions,233,140,John Prentice,94837,80792,The Hunts,105,1398,Dave,Gnanadurai,0,19,0,3,0,2,0,0,0,0,NA,Semi Final 2,JJ Holland Midweek,2019 Spring,2019-12-16T06:32:32Z,The Hunts,9013,Workers Club Lions,16726,404797506,live_scoring_core.dtos.outdoor_cricket.Overs,2,0
Nagarjuna reddy Mettu,4,36,0,9,268476,1,Round 3,2019-12-12T16:45:00Z,JJ Holland Midweek,2019 Spring,The Michael Bevans,Poms & Convicts,141,172,Manoj Varma,NA,NA,NA,105,1398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jack Davies,4,33,1,8.25,268476,1,Round 3,2019-12-12T16:45:00Z,JJ Holland Midweek,2019 Spring,The Michael Bevans,Poms & Convicts,141,172,Manoj Varma,308063,243967,The Michael Bevans,105,1398,Jack,Davies,0,33,1,5,1,1,0,0,0,0,NA,Round 3,JJ Holland Midweek,2019 Spring,2019-12-12T06:41:36Z,Poms & Convicts,17119,The Michael Bevans,11117,636683122,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Pat Youens,4,36,1,9,268476,1,Round 3,2019-12-12T16:45:00Z,JJ Holland Midweek,2019 Spring,The Michael Bevans,Poms & Convicts,141,172,Manoj Varma,131032,110567,The Michael Bevans,105,1398,Pat,Youens,0,36,1,5,0,1,0,0,0,0,NA,Round 3,JJ Holland Midweek,2019 Spring,2019-12-12T06:41:36Z,Poms & Convicts,17119,The Michael Bevans,11117,81840097,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Justin Lott,4,19,2,4.75,268476,1,Round 3,2019-12-12T16:45:00Z,JJ Holland Midweek,2019 Spring,The Michael Bevans,Poms & Convicts,141,172,Manoj Varma,128798,108650,The Michael Bevans,105,1398,Justin,Lott,0,19,2,5,0,3,0,0,0,0,NA,Round 3,JJ Holland Midweek,2019 Spring,2019-12-12T06:41:36Z,Poms & Convicts,17119,The Michael Bevans,11117,1049270917,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
David Jaul,4,47,0,11.75,268476,1,Round 3,2019-12-12T16:45:00Z,JJ Holland Midweek,2019 Spring,The Michael Bevans,Poms & Convicts,141,172,Manoj Varma,308045,243949,The Michael Bevans,105,1398,David,Jaul,0,47,0,5,1,3,0,0,0,0,NA,Round 3,JJ Holland Midweek,2019 Spring,2019-12-12T06:41:36Z,Poms & Convicts,17119,The Michael Bevans,11117,993469493,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Atif Rizvi,4,19,2,4.75,268476,2,Round 3,2019-12-12T16:45:00Z,JJ Holland Midweek,2019 Spring,The Michael Bevans,Poms & Convicts,141,172,Manoj Varma,313209,78000,Poms & Convicts,105,1398,Atif,Rizvi,0,19,2,11,0,1,0,0,0,0,NA,Round 3,JJ Holland Midweek,2019 Spring,2019-12-12T06:41:36Z,Poms & Convicts,17119,The Michael Bevans,11117,615680294,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Ryan Jones,4,24,1,6,268476,2,Round 3,2019-12-12T16:45:00Z,JJ Holland Midweek,2019 Spring,The Michael Bevans,Poms & Convicts,141,172,Manoj Varma,267152,219420,Poms & Convicts,105,1398,Ryan,Jones,0,24,1,7,0,1,0,0,0,0,NA,Round 3,JJ Holland Midweek,2019 Spring,2019-12-12T06:41:36Z,Poms & Convicts,17119,The Michael Bevans,11117,1008829519,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Jimmy Boyle,4,23,2,5.75,268476,2,Round 3,2019-12-12T16:45:00Z,JJ Holland Midweek,2019 Spring,The Michael Bevans,Poms & Convicts,141,172,Manoj Varma,308122,243988,Poms & Convicts,105,1398,Jimmy,Boyle,0,23,2,4,0,0,0,0,0,0,NA,Round 3,JJ Holland Midweek,2019 Spring,2019-12-12T06:41:36Z,Poms & Convicts,17119,The Michael Bevans,11117,265153171,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Johnny Temuskus,4,34,1,8.5,268476,2,Round 3,2019-12-12T16:45:00Z,JJ Holland Midweek,2019 Spring,The Michael Bevans,Poms & Convicts,141,172,Manoj Varma,312212,223613,Poms & Convicts,105,1398,Johnny,Temuskus,0,34,1,3,1,0,0,0,0,0,NA,Round 3,JJ Holland Midweek,2019 Spring,2019-12-12T06:41:36Z,Poms & Convicts,17119,The Michael Bevans,11117,666788289,live_scoring_core.dtos.outdoor_cricket.Overs,4,0
Michael Totsis,2,13,0,6.5,268476,2,Round 3,2019-12-12T16:45:00Z,JJ Holland Midweek,2019 Spring,The Michael Bevans,Poms & Convicts,141,172,Manoj Varma,313208,86627,Poms & Convicts,105,1398,Michael,Totsis,0,13,0,2,0,0,0,0,0,0,NA,Round 3,JJ Holland Midweek,2019 Spring,2019-12-12T06:41:36Z,Poms & Convicts,17119,The Michael Bevans,11117,154157564,live_scoring_core.dtos.outdoor_cricket.Overs,2,0
Nabin Neupane,2,27,0,13.5,268476,2,Round 3,2019-12-12T16:45:00Z,JJ Holland Midweek,2019 Spring,The Michael Bevans,Poms & Convicts,141,172,Manoj Varma,311360,245620,Poms & Convicts,105,1398,Nabin,Neupane,0,27,0,2,2,0,0,0,0,0,NA,Round 3,JJ Holland Midweek,2019 Spring,2019-12-12T06:41:36Z,Poms & Convicts,17119,The Michael Bevans,11117,563838970,live_scoring_core.dtos.outdoor_cricket.Overs,2,0
