$id,$type,AdditionalRunsNotFromBat,Runs,CatcherUserId,BatsmanId
514732535,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,6,NA,NA
891719532,live_scoring_core.events.outdoor_cricket.ball_results.Caught,NA,NA,239863,NA
203653672,live_scoring_core.events.outdoor_cricket.ball_results.Steal,2,NA,NA,211993
252028815,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
133415707,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
289779051,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
932388285,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
943037487,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
122060785,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
967860827,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
760403472,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
325748937,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
194760186,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
805950099,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
358330790,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
307058547,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
456952673,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
757116622,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,6,NA,NA
372707480,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
1027581259,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
367328428,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
670716047,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,6,NA,NA
12079084,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
1023230114,live_scoring_core.events.outdoor_cricket.ball_results.NoBall,0,NA,NA,NA
978285542,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
852041902,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
746129376,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
715990746,live_scoring_core.events.outdoor_cricket.ball_results.Wide,0,NA,NA,NA
230027828,live_scoring_core.events.outdoor_cricket.ball_results.Caught,NA,NA,242570,NA
1002976938,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
62337452,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
184981342,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
1008303728,live_scoring_core.events.outdoor_cricket.ball_results.NoBall,0,NA,NA,NA
314266454,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
208332787,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
702431630,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
528445938,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
981959925,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
867646787,live_scoring_core.events.outdoor_cricket.ball_results.NoBall,0,NA,NA,NA
