$id,$type,BattingFirstTeamId,BowlingFirstTeamId,FirstInningsOvers,SecondInningsOvers,PitchCondition,Id,TimeStamp,BattingTeamId,BowlingTeamId,StrikerId,NonStrikerId,BowlerId,KeeperId,NewBowlerId,BatsmanId,NewBatsmanId,NewFielderId,NewKeeperId
1055931213,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,ffeae0f9-2ca4-48ee-b0b2-af3a233b4729,2021-02-25T06:59:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
998462115,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,7e7d43ca-cb91-4d4f-86ff-25c59eca5ee6,2021-02-25T06:59:31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61129625,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,762e4cbf-9633-4b7d-9809-0ce107ac1baf,2021-02-25T06:59:53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345030408,live_scoring_core.events.outdoor_cricket.NewOverStarted,NA,NA,NA,NA,NA,ded24972-4e84-4609-8630-252776e02df5,2021-02-25T07:00:17,NA,NA,NA,NA,78000,NA,NA,NA,NA,NA,NA
922615609,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,8c28f7f7-2727-4f87-a08b-7253d758a3b0,2021-02-25T07:00:32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43968729,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,49013def-427f-478d-9fff-a0395f8c6ad6,2021-02-25T07:00:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
564993700,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,959402a4-a495-426d-9f54-ece8fabcbc23,2021-02-25T07:01:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
750543243,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,b5a799be-3fbf-4840-819a-ebf828b0c77a,2021-02-25T07:01:37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
996399251,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,5840a370-a13e-4e1e-9d6d-92afffcc4de2,2021-02-25T07:02:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25009648,live_scoring_core.events.outdoor_cricket.NewOverStarted,NA,NA,NA,NA,NA,9a3e51fa-7c58-42b3-8c34-97873ed10101,2021-02-25T07:02:37,NA,NA,NA,NA,44711,NA,NA,NA,NA,NA,NA
