Name,Catches,RunOuts
Ben Cull,4,0
Adam Peel,3,1
Devin Goheen,3,0
Syed mahmood Ali,2,0
Kaushik Gayal,2,0
Michael Drew,2,0
Rohan Bythell-Douglas,2,0
Surya Yarlagadda,1,0
Morgan Tear,1,0
Daniel Dymond,1,0
Jimmy Day,0,1
