MatchId,SeasonName,StartDateTime,Oppo,OversFaced,WicketsLost,RunsScored,OversBowled,WicketsTaken,RunsConceded
305337,2021 Summer,2021-01-14T06:36:51Z,The Hunts,16.2,8,97,20.0,4,135
305338,2021 Summer,2021-01-21T06:39:31Z,Major Paine,18.1,1,196,20.0,6,195
305505,2021 Summer,2021-01-28T06:37:47Z,Workers Club Lions,19.3,3,182,20.0,4,181
305508,2021 Summer,2021-02-04T06:43:43Z,The Hunts,17.1,8,140,20.0,3,220
305511,2021 Summer,2021-02-11T06:45:04Z,Major Paine,19.4,8,106,15.0,4,107
305510,2021 Summer,2021-02-18T06:53:18Z,Workers Club Lions,18.0,8,125,20.0,3,188
305514,2021 Summer,2021-02-25T06:47:33Z,The Hunts,20.0,5,165,16.1,2,169
306942,2021 Summer,2021-03-01T06:35:54Z,St Peter's Cricket Club,20.0,4,106,20.0,5,163
307423,2021 Summer,2021-03-11T06:23:27Z,Workers Club Lions,13.3,0,148,19.3,8,145
